Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Offences not elsewhere classified (16),Number,114
Recorded crime incidents,2023Q1,20 North Western Region,Homicide & related offences (01),Number,4
Recorded crime incidents,2023Q1,20 North Western Region,Murder (0111),Number,1
Recorded crime incidents,2023Q1,20 North Western Region,Manslaughter (0112),Number,0
Recorded crime incidents,2023Q1,20 North Western Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q1,20 North Western Region,Dangerous driving leading to death (012),Number,3
Recorded crime incidents,2023Q1,20 North Western Region,Sexual offences (02),Number,214
Recorded crime incidents,2023Q1,20 North Western Region,Rape and sexual assault (021),Number,180
Recorded crime incidents,2023Q1,20 North Western Region,Other sexual offences (022),Number,34
Recorded crime incidents,2023Q1,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1176
Recorded crime incidents,2023Q1,20 North Western Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2023Q1,20 North Western Region,Threat to kill or cause serious harm (0313),Number,102
Recorded crime incidents,2023Q1,20 North Western Region,Harassment and related offences (033),Number,140
Recorded crime incidents,2023Q1,20 North Western Region,"Assault causing harm, poisoning (034)",Number,267
Recorded crime incidents,2023Q1,20 North Western Region,Other assault (035),Number,667
Recorded crime incidents,2023Q1,20 North Western Region,Dangerous or negligent acts (04),Number,1726
Recorded crime incidents,2023Q1,20 North Western Region,Dangerous driving causing serious bodily harm (0411),Number,4
Recorded crime incidents,2023Q1,20 North Western Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,444
Recorded crime incidents,2023Q1,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,325
Recorded crime incidents,2023Q1,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,119
Recorded crime incidents,2023Q1,20 North Western Region,Dangerous/careless driving and motorway offences (0414),Number,289
Recorded crime incidents,2023Q1,20 North Western Region,Speeding (0415),Number,945
Recorded crime incidents,2023Q1,20 North Western Region,Endangerment with potential for serious harm/death (0421),Number,20
Recorded crime incidents,2023Q1,20 North Western Region,"Abandoning a child, child neglect and cruelty (0422)",Number,16
Recorded crime incidents,2023Q1,20 North Western Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q1,20 North Western Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2023Q1,20 North Western Region,Endangering traffic offences (0425),Number,8
Recorded crime incidents,2023Q1,20 North Western Region,Kidnapping and related offences (05),Number,3
Recorded crime incidents,2023Q1,20 North Western Region,False imprisonment (0511),Number,1
Recorded crime incidents,2023Q1,20 North Western Region,Abduction of person under 16 years of age (0512),Number,1
Recorded crime incidents,2023Q1,20 North Western Region,Human trafficking offences (0513),Number,1
Recorded crime incidents,2023Q1,20 North Western Region,"Robbery, extortion and hijacking offences (06)",Number,80
Recorded crime incidents,2023Q1,20 North Western Region,Robbery of an establishment or institution (0611),Number,14
Recorded crime incidents,2023Q1,20 North Western Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2023Q1,20 North Western Region,Robbery from the person (0613),Number,20
Recorded crime incidents,2023Q1,20 North Western Region,Blackmail or extortion (0621),Number,44
Recorded crime incidents,2023Q1,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,2
Recorded crime incidents,2023Q1,20 North Western Region,Burglary and related offences (07),Number,472
Recorded crime incidents,2023Q1,20 North Western Region,Aggravated burglary (0711),Number,9
Recorded crime incidents,2023Q1,20 North Western Region,Burglary (not aggravated) (0712),Number,461
Recorded crime incidents,2023Q1,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,2
Recorded crime incidents,2023Q1,20 North Western Region,Theft and related offences (08),Number,1899
Recorded crime incidents,2023Q1,20 North Western Region,Theft/taking of vehicle and related offences (081),Number,140
Recorded crime incidents,2023Q1,20 North Western Region,Theft from person (0821),Number,20
Recorded crime incidents,2023Q1,20 North Western Region,Theft from shop (0822),Number,1025
Recorded crime incidents,2023Q1,20 North Western Region,"Other thefts, handling stolen property (084)",Number,714
Recorded crime incidents,2023Q1,20 North Western Region,"Fraud, deception and related offences (09)",Number,479
Recorded crime incidents,2023Q1,20 North Western Region,Controlled drug offences (10),Number,521
Recorded crime incidents,2023Q1,20 North Western Region,Importation of drugs (1011),Number,2
Recorded crime incidents,2023Q1,20 North Western Region,Cultivation or manufacture of drugs (1012),Number,12
Recorded crime incidents,2023Q1,20 North Western Region,Possession of drugs for sale or supply (1021),Number,114
Recorded crime incidents,2023Q1,20 North Western Region,Possession of drugs for personal use (1022),Number,388
Recorded crime incidents,2023Q1,20 North Western Region,Other drug offences (103),Number,5
Recorded crime incidents,2023Q1,20 North Western Region,Weapons and explosives offences (11),Number,105
Recorded crime incidents,2023Q1,20 North Western Region,"Explosives, chemical weapons offences (111)",Number,7
Recorded crime incidents,2023Q1,20 North Western Region,Discharging a firearm (1121),Number,7
Recorded crime incidents,2023Q1,20 North Western Region,Possession of a firearm (1122),Number,9
Recorded crime incidents,2023Q1,20 North Western Region,Offensive weapons offences (n.e.c.) (113),Number,80
Recorded crime incidents,2023Q1,20 North Western Region,Fireworks offences (114),Number,2
Recorded crime incidents,2023Q1,20 North Western Region,Damage to property and to the environment  offences (12),Number,931
Recorded crime incidents,2023Q1,20 North Western Region,Arson (1211),Number,59
Recorded crime incidents,2023Q1,20 North Western Region,Criminal damage (not arson) (1212),Number,861
Recorded crime incidents,2023Q1,20 North Western Region,Litter offences (1221),Number,11
Recorded crime incidents,2023Q1,20 North Western Region,Public order and other social code offences (13),Number,1332
Recorded crime incidents,2023Q1,20 North Western Region,Disorderly conduct (131),Number,1224
Recorded crime incidents,2023Q1,20 North Western Region,Trespass offences (132),Number,66
Recorded crime incidents,2023Q1,20 North Western Region,Liquor licensing offences (133),Number,7
Recorded crime incidents,2023Q1,20 North Western Region,Prostitution offences (134),Number,1
Recorded crime incidents,2023Q1,20 North Western Region,"Regulated betting/money, collection/trading offences (135)",Number,3
Recorded crime incidents,2023Q1,20 North Western Region,Social code offences (n.e.c.) (136),Number,31
Recorded crime incidents,2023Q1,20 North Western Region,Road and traffic offences (14),Number,1996
Recorded crime incidents,2023Q1,20 North Western Region,"Driving licence-failure to have, produce, etc. (1411)",Number,133
Recorded crime incidents,2023Q1,20 North Western Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,345
