Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2024Q2,20 North Western Region,Possession of drugs for personal use (1022),Number,451
Recorded crime incidents,2024Q2,20 North Western Region,Other drug offences (103),Number,10
Recorded crime incidents,2024Q2,20 North Western Region,Weapons and explosives offences (11),Number,105
Recorded crime incidents,2024Q2,20 North Western Region,"Explosives, chemical weapons offences (111)",Number,2
Recorded crime incidents,2024Q2,20 North Western Region,Discharging a firearm (1121),Number,4
Recorded crime incidents,2024Q2,20 North Western Region,Possession of a firearm (1122),Number,8
Recorded crime incidents,2024Q2,20 North Western Region,Offensive weapons offences (n.e.c.) (113),Number,90
Recorded crime incidents,2024Q2,20 North Western Region,Fireworks offences (114),Number,1
Recorded crime incidents,2024Q2,20 North Western Region,Damage to property and to the environment  offences (12),Number,977
Recorded crime incidents,2024Q2,20 North Western Region,Arson (1211),Number,79
Recorded crime incidents,2024Q2,20 North Western Region,Criminal damage (not arson) (1212),Number,893
Recorded crime incidents,2024Q2,20 North Western Region,Litter offences (1221),Number,5
Recorded crime incidents,2024Q2,20 North Western Region,Public order and other social code offences (13),Number,1497
Recorded crime incidents,2024Q2,20 North Western Region,Disorderly conduct (131),Number,1366
Recorded crime incidents,2024Q2,20 North Western Region,Trespass offences (132),Number,82
Recorded crime incidents,2024Q2,20 North Western Region,Liquor licensing offences (133),Number,6
Recorded crime incidents,2024Q2,20 North Western Region,Prostitution offences (134),Number,0
Recorded crime incidents,2024Q2,20 North Western Region,"Regulated betting/money, collection/trading offences (135)",Number,2
Recorded crime incidents,2024Q2,20 North Western Region,Social code offences (n.e.c.) (136),Number,41
Recorded crime incidents,2024Q2,20 North Western Region,Road and traffic offences (14),Number,2450
Recorded crime incidents,2024Q2,20 North Western Region,"Driving licence-failure to have, produce, etc. (1411)",Number,126
Recorded crime incidents,2024Q2,20 North Western Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,625
Recorded crime incidents,2024Q2,20 North Western Region,Vehicle tax/registration offences (142),Number,478
Recorded crime incidents,2024Q2,20 North Western Region,Roadworthiness/regulatory offences (143),Number,64
Recorded crime incidents,2024Q2,20 North Western Region,Obstruction under Road Traffic Acts (1432),Number,3
Recorded crime incidents,2024Q2,20 North Western Region,Other road offences (1433),Number,1128
Recorded crime incidents,2024Q2,20 North Western Region,Road transport - carriage of goods offences (1441),Number,7
Recorded crime incidents,2024Q2,20 North Western Region,Public service vehicle offences (1442),Number,19
Recorded crime incidents,2024Q2,20 North Western Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2024Q2,20 North Western Region,"Offences against government, justice procedures and organisation of crime (15)",Number,415
Recorded crime incidents,2024Q2,20 North Western Region,Offences against government and its agents (151),Number,17
Recorded crime incidents,2024Q2,20 North Western Region,Organisation of crime and conspiracy to commit crime (152),Number,1
Recorded crime incidents,2024Q2,20 North Western Region,Perverting the course of justice (153),Number,3
Recorded crime incidents,2024Q2,20 North Western Region,"Offences while in custody, breach of court orders (157)",Number,394
Recorded crime incidents,2024Q2,20 North Western Region,Offences not elsewhere classified (16),Number,89
Recorded crime incidents,2024Q2,30 Eastern Region,Homicide & related offences (01),Number,6
Recorded crime incidents,2024Q2,30 Eastern Region,Murder (0111),Number,3
Recorded crime incidents,2024Q2,30 Eastern Region,Manslaughter (0112),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,Infanticide (0113),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,Dangerous driving leading to death (012),Number,3
Recorded crime incidents,2024Q2,30 Eastern Region,Sexual offences (02),Number,188
Recorded crime incidents,2024Q2,30 Eastern Region,Rape and sexual assault (021),Number,160
Recorded crime incidents,2024Q2,30 Eastern Region,Other sexual offences (022),Number,28
Recorded crime incidents,2024Q2,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1499
Recorded crime incidents,2024Q2,30 Eastern Region,Murder-attempt (0311),Number,1
Recorded crime incidents,2024Q2,30 Eastern Region,Threat to kill or cause serious harm (0313),Number,156
Recorded crime incidents,2024Q2,30 Eastern Region,Harassment and related offences (033),Number,132
Recorded crime incidents,2024Q2,30 Eastern Region,"Assault causing harm, poisoning (034)",Number,304
Recorded crime incidents,2024Q2,30 Eastern Region,Other assault (035),Number,906
Recorded crime incidents,2024Q2,30 Eastern Region,Dangerous or negligent acts (04),Number,2222
Recorded crime incidents,2024Q2,30 Eastern Region,Dangerous driving causing serious bodily harm (0411),Number,6
Recorded crime incidents,2024Q2,30 Eastern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,451
Recorded crime incidents,2024Q2,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,336
Recorded crime incidents,2024Q2,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,115
Recorded crime incidents,2024Q2,30 Eastern Region,Dangerous/careless driving and motorway offences (0414),Number,450
Recorded crime incidents,2024Q2,30 Eastern Region,Speeding (0415),Number,1293
Recorded crime incidents,2024Q2,30 Eastern Region,Endangerment with potential for serious harm/death (0421),Number,4
Recorded crime incidents,2024Q2,30 Eastern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,10
Recorded crime incidents,2024Q2,30 Eastern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,Endangering traffic offences (0425),Number,8
Recorded crime incidents,2024Q2,30 Eastern Region,Kidnapping and related offences (05),Number,10
Recorded crime incidents,2024Q2,30 Eastern Region,False imprisonment (0511),Number,9
Recorded crime incidents,2024Q2,30 Eastern Region,Abduction of person under 16 years of age (0512),Number,1
Recorded crime incidents,2024Q2,30 Eastern Region,Human trafficking offences (0513),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,"Robbery, extortion and hijacking offences (06)",Number,67
Recorded crime incidents,2024Q2,30 Eastern Region,Robbery of an establishment or institution (0611),Number,7
Recorded crime incidents,2024Q2,30 Eastern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,Robbery from the person (0613),Number,24
Recorded crime incidents,2024Q2,30 Eastern Region,Blackmail or extortion (0621),Number,35
Recorded crime incidents,2024Q2,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,1
Recorded crime incidents,2024Q2,30 Eastern Region,Burglary and related offences (07),Number,562
Recorded crime incidents,2024Q2,30 Eastern Region,Aggravated burglary (0711),Number,22
Recorded crime incidents,2024Q2,30 Eastern Region,Burglary (not aggravated) (0712),Number,531
Recorded crime incidents,2024Q2,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,9
Recorded crime incidents,2024Q2,30 Eastern Region,Theft and related offences (08),Number,3798
Recorded crime incidents,2024Q2,30 Eastern Region,Theft/taking of vehicle and related offences (081),Number,341
Recorded crime incidents,2024Q2,30 Eastern Region,Theft from person (0821),Number,47
Recorded crime incidents,2024Q2,30 Eastern Region,Theft from shop (0822),Number,2042
Recorded crime incidents,2024Q2,30 Eastern Region,"Other thefts, handling stolen property (084)",Number,1368
Recorded crime incidents,2024Q2,30 Eastern Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2024Q2,30 Eastern Region,Controlled drug offences (10),Number,940
Recorded crime incidents,2024Q2,30 Eastern Region,Importation of drugs (1011),Number,3
Recorded crime incidents,2024Q2,30 Eastern Region,Cultivation or manufacture of drugs (1012),Number,3
Recorded crime incidents,2024Q2,30 Eastern Region,Possession of drugs for sale or supply (1021),Number,218
Recorded crime incidents,2024Q2,30 Eastern Region,Possession of drugs for personal use (1022),Number,689
Recorded crime incidents,2024Q2,30 Eastern Region,Other drug offences (103),Number,27
Recorded crime incidents,2024Q2,30 Eastern Region,Weapons and explosives offences (11),Number,132
Recorded crime incidents,2024Q2,30 Eastern Region,"Explosives, chemical weapons offences (111)",Number,5
Recorded crime incidents,2024Q2,30 Eastern Region,Discharging a firearm (1121),Number,3
Recorded crime incidents,2024Q2,30 Eastern Region,Possession of a firearm (1122),Number,8
Recorded crime incidents,2024Q2,30 Eastern Region,Offensive weapons offences (n.e.c.) (113),Number,115
Recorded crime incidents,2024Q2,30 Eastern Region,Fireworks offences (114),Number,1
Recorded crime incidents,2024Q2,30 Eastern Region,Damage to property and to the environment  offences (12),Number,1227
Recorded crime incidents,2024Q2,30 Eastern Region,Arson (1211),Number,90
Recorded crime incidents,2024Q2,30 Eastern Region,Criminal damage (not arson) (1212),Number,1132
Recorded crime incidents,2024Q2,30 Eastern Region,Litter offences (1221),Number,5
Recorded crime incidents,2024Q2,30 Eastern Region,Public order and other social code offences (13),Number,1635
Recorded crime incidents,2024Q2,30 Eastern Region,Disorderly conduct (131),Number,1481
Recorded crime incidents,2024Q2,30 Eastern Region,Trespass offences (132),Number,118
Recorded crime incidents,2024Q2,30 Eastern Region,Liquor licensing offences (133),Number,5
Recorded crime incidents,2024Q2,30 Eastern Region,Prostitution offences (134),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,"Regulated betting/money, collection/trading offences (135)",Number,2
Recorded crime incidents,2024Q2,30 Eastern Region,Social code offences (n.e.c.) (136),Number,29
Recorded crime incidents,2024Q2,30 Eastern Region,Road and traffic offences (14),Number,3095
Recorded crime incidents,2024Q2,30 Eastern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,243
Recorded crime incidents,2024Q2,30 Eastern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,677
Recorded crime incidents,2024Q2,30 Eastern Region,Vehicle tax/registration offences (142),Number,526
Recorded crime incidents,2024Q2,30 Eastern Region,Roadworthiness/regulatory offences (143),Number,47
Recorded crime incidents,2024Q2,30 Eastern Region,Obstruction under Road Traffic Acts (1432),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,Other road offences (1433),Number,1564
Recorded crime incidents,2024Q2,30 Eastern Region,Road transport - carriage of goods offences (1441),Number,10
Recorded crime incidents,2024Q2,30 Eastern Region,Public service vehicle offences (1442),Number,28
Recorded crime incidents,2024Q2,30 Eastern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2024Q2,30 Eastern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,621
Recorded crime incidents,2024Q2,30 Eastern Region,Offences against government and its agents (151),Number,12
Recorded crime incidents,2024Q2,30 Eastern Region,Organisation of crime and conspiracy to commit crime (152),Number,2
Recorded crime incidents,2024Q2,30 Eastern Region,Perverting the course of justice (153),Number,3
Recorded crime incidents,2024Q2,30 Eastern Region,"Offences while in custody, breach of court orders (157)",Number,604
Recorded crime incidents,2024Q2,30 Eastern Region,Offences not elsewhere classified (16),Number,108
Recorded crime incidents,2024Q2,40 Southern Region,Homicide & related offences (01),Number,4
Recorded crime incidents,2024Q2,40 Southern Region,Murder (0111),Number,2
Recorded crime incidents,2024Q2,40 Southern Region,Manslaughter (0112),Number,0
Recorded crime incidents,2024Q2,40 Southern Region,Infanticide (0113),Number,0
Recorded crime incidents,2024Q2,40 Southern Region,Dangerous driving leading to death (012),Number,2
Recorded crime incidents,2024Q2,40 Southern Region,Sexual offences (02),Number,183
Recorded crime incidents,2024Q2,40 Southern Region,Rape and sexual assault (021),Number,161
Recorded crime incidents,2024Q2,40 Southern Region,Other sexual offences (022),Number,22
Recorded crime incidents,2024Q2,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1346
Recorded crime incidents,2024Q2,40 Southern Region,Murder-attempt (0311),Number,3
Recorded crime incidents,2024Q2,40 Southern Region,Threat to kill or cause serious harm (0313),Number,88
Recorded crime incidents,2024Q2,40 Southern Region,Harassment and related offences (033),Number,122
Recorded crime incidents,2024Q2,40 Southern Region,"Assault causing harm, poisoning (034)",Number,283
Recorded crime incidents,2024Q2,40 Southern Region,Other assault (035),Number,850
Recorded crime incidents,2024Q2,40 Southern Region,Dangerous or negligent acts (04),Number,2411
Recorded crime incidents,2024Q2,40 Southern Region,Dangerous driving causing serious bodily harm (0411),Number,3
Recorded crime incidents,2024Q2,40 Southern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,409
Recorded crime incidents,2024Q2,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,289
Recorded crime incidents,2024Q2,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,120
Recorded crime incidents,2024Q2,40 Southern Region,Dangerous/careless driving and motorway offences (0414),Number,322
Recorded crime incidents,2024Q2,40 Southern Region,Speeding (0415),Number,1624
Recorded crime incidents,2024Q2,40 Southern Region,Endangerment with potential for serious harm/death (0421),Number,18
Recorded crime incidents,2024Q2,40 Southern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,10
Recorded crime incidents,2024Q2,40 Southern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,1
Recorded crime incidents,2024Q2,40 Southern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2024Q2,40 Southern Region,Endangering traffic offences (0425),Number,24
Recorded crime incidents,2024Q2,40 Southern Region,Kidnapping and related offences (05),Number,12
Recorded crime incidents,2024Q2,40 Southern Region,False imprisonment (0511),Number,9
Recorded crime incidents,2024Q2,40 Southern Region,Abduction of person under 16 years of age (0512),Number,3
Recorded crime incidents,2024Q2,40 Southern Region,Human trafficking offences (0513),Number,0
Recorded crime incidents,2024Q2,40 Southern Region,"Robbery, extortion and hijacking offences (06)",Number,90
Recorded crime incidents,2024Q2,40 Southern Region,Robbery of an establishment or institution (0611),Number,8
Recorded crime incidents,2024Q2,40 Southern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2024Q2,40 Southern Region,Robbery from the person (0613),Number,37
Recorded crime incidents,2024Q2,40 Southern Region,Blackmail or extortion (0621),Number,41
Recorded crime incidents,2024Q2,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,4
Recorded crime incidents,2024Q2,40 Southern Region,Burglary and related offences (07),Number,473
Recorded crime incidents,2024Q2,40 Southern Region,Aggravated burglary (0711),Number,17
Recorded crime incidents,2024Q2,40 Southern Region,Burglary (not aggravated) (0712),Number,455
Recorded crime incidents,2024Q2,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,1
Recorded crime incidents,2024Q2,40 Southern Region,Theft and related offences (08),Number,3457
Recorded crime incidents,2024Q2,40 Southern Region,Theft/taking of vehicle and related offences (081),Number,396
Recorded crime incidents,2024Q2,40 Southern Region,Theft from person (0821),Number,44
Recorded crime incidents,2024Q2,40 Southern Region,Theft from shop (0822),Number,1856
Recorded crime incidents,2024Q2,40 Southern Region,"Other thefts, handling stolen property (084)",Number,1161
Recorded crime incidents,2024Q2,40 Southern Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2024Q2,40 Southern Region,Controlled drug offences (10),Number,850
Recorded crime incidents,2024Q2,40 Southern Region,Importation of drugs (1011),Number,2
Recorded crime incidents,2024Q2,40 Southern Region,Cultivation or manufacture of drugs (1012),Number,6
Recorded crime incidents,2024Q2,40 Southern Region,Possession of drugs for sale or supply (1021),Number,167
Recorded crime incidents,2024Q2,40 Southern Region,Possession of drugs for personal use (1022),Number,651
Recorded crime incidents,2024Q2,40 Southern Region,Other drug offences (103),Number,24
Recorded crime incidents,2024Q2,40 Southern Region,Weapons and explosives offences (11),Number,139
Recorded crime incidents,2024Q2,40 Southern Region,"Explosives, chemical weapons offences (111)",Number,1
Recorded crime incidents,2024Q2,40 Southern Region,Discharging a firearm (1121),Number,4
Recorded crime incidents,2024Q2,40 Southern Region,Possession of a firearm (1122),Number,9
Recorded crime incidents,2024Q2,40 Southern Region,Offensive weapons offences (n.e.c.) (113),Number,122
Recorded crime incidents,2024Q2,40 Southern Region,Fireworks offences (114),Number,3
Recorded crime incidents,2024Q2,40 Southern Region,Damage to property and to the environment  offences (12),Number,1012
Recorded crime incidents,2024Q2,40 Southern Region,Arson (1211),Number,71
Recorded crime incidents,2024Q2,40 Southern Region,Criminal damage (not arson) (1212),Number,939
Recorded crime incidents,2024Q2,40 Southern Region,Litter offences (1221),Number,2
Recorded crime incidents,2024Q2,40 Southern Region,Public order and other social code offences (13),Number,1674
Recorded crime incidents,2024Q2,40 Southern Region,Disorderly conduct (131),Number,1449
Recorded crime incidents,2024Q2,40 Southern Region,Trespass offences (132),Number,119
Recorded crime incidents,2024Q2,40 Southern Region,Liquor licensing offences (133),Number,18
Recorded crime incidents,2024Q2,40 Southern Region,Prostitution offences (134),Number,10
Recorded crime incidents,2024Q2,40 Southern Region,"Regulated betting/money, collection/trading offences (135)",Number,2
Recorded crime incidents,2024Q2,40 Southern Region,Social code offences (n.e.c.) (136),Number,76
Recorded crime incidents,2024Q2,40 Southern Region,Road and traffic offences (14),Number,2755
Recorded crime incidents,2024Q2,40 Southern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,190
Recorded crime incidents,2024Q2,40 Southern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,522
Recorded crime incidents,2024Q2,40 Southern Region,Vehicle tax/registration offences (142),Number,520
Recorded crime incidents,2024Q2,40 Southern Region,Roadworthiness/regulatory offences (143),Number,44
Recorded crime incidents,2024Q2,40 Southern Region,Obstruction under Road Traffic Acts (1432),Number,6
Recorded crime incidents,2024Q2,40 Southern Region,Other road offences (1433),Number,1446
Recorded crime incidents,2024Q2,40 Southern Region,Road transport - carriage of goods offences (1441),Number,6
Recorded crime incidents,2024Q2,40 Southern Region,Public service vehicle offences (1442),Number,21
Recorded crime incidents,2024Q2,40 Southern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2024Q2,40 Southern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,677
Recorded crime incidents,2024Q2,40 Southern Region,Offences against government and its agents (151),Number,5
Recorded crime incidents,2024Q2,40 Southern Region,Organisation of crime and conspiracy to commit crime (152),Number,0
Recorded crime incidents,2024Q2,40 Southern Region,Perverting the course of justice (153),Number,2
Recorded crime incidents,2024Q2,40 Southern Region,"Offences while in custody, breach of court orders (157)",Number,670
Recorded crime incidents,2024Q2,40 Southern Region,Offences not elsewhere classified (16),Number,142
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Homicide & related offences (01),Number,4
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Murder (0111),Number,1
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Manslaughter (0112),Number,1
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Infanticide (0113),Number,0
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Dangerous driving leading to death (012),Number,2
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Sexual offences (02),Number,370
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Rape and sexual assault (021),Number,344
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Other sexual offences (022),Number,26
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,2232
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Murder-attempt (0311),Number,2
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Threat to kill or cause serious harm (0313),Number,196
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Harassment and related offences (033),Number,155
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Assault causing harm, poisoning (034)",Number,620
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Other assault (035),Number,1259
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Dangerous or negligent acts (04),Number,1776
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm (0411),Number,3
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,331
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,238
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,93
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Dangerous/careless driving and motorway offences (0414),Number,324
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Speeding (0415),Number,1059
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death (0421),Number,29
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty (0422)",Number,23
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities (0424),Number,2
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Endangering traffic offences (0425),Number,5
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Kidnapping and related offences (05),Number,19
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,False imprisonment (0511),Number,11
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Abduction of person under 16 years of age (0512),Number,7
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Human trafficking offences (0513),Number,1
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences (06)",Number,368
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Robbery of an establishment or institution (0611),Number,82
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Robbery from the person (0613),Number,195
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Blackmail or extortion (0621),Number,53
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,38
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Burglary and related offences (07),Number,915
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Aggravated burglary (0711),Number,31
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Burglary (not aggravated) (0712),Number,831
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,53
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Theft and related offences (08),Number,10066
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences (081),Number,1081
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Theft from person (0821),Number,759
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Theft from shop (0822),Number,3665
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Other thefts, handling stolen property (084)",Number,4561
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Controlled drug offences (10),Number,1663
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Importation of drugs (1011),Number,19
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs (1012),Number,7
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Possession of drugs for sale or supply (1021),Number,657
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Possession of drugs for personal use (1022),Number,837
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Other drug offences (103),Number,143
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Weapons and explosives offences (11),Number,369
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences (111)",Number,11
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Discharging a firearm (1121),Number,7
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Possession of a firearm (1122),Number,19
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.) (113),Number,309
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Fireworks offences (114),Number,23
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Damage to property and to the environment  offences (12),Number,2350
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Arson (1211),Number,232
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Criminal damage (not arson) (1212),Number,2115
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Litter offences (1221),Number,3
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Public order and other social code offences (13),Number,3175
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Disorderly conduct (131),Number,2672
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Trespass offences (132),Number,358
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Liquor licensing offences (133),Number,4
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Prostitution offences (134),Number,5
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences (135)",Number,17
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Social code offences (n.e.c.) (136),Number,119
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Road and traffic offences (14),Number,4251
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Driving licence-failure to have, produce, etc. (1411)",Number,316
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,662
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Vehicle tax/registration offences (142),Number,547
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Roadworthiness/regulatory offences (143),Number,19
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Obstruction under Road Traffic Acts (1432),Number,6
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Other road offences (1433),Number,2575
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Road transport - carriage of goods offences (1441),Number,4
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Public service vehicle offences (1442),Number,121
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Light rail offences (Luas) (1443),Number,1
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime (15)",Number,2156
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Offences against government and its agents (151),Number,14
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime (152),Number,5
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Perverting the course of justice (153),Number,2
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders (157)",Number,2135
Recorded crime incidents,2024Q3,10 Dublin Metropolitan Region,Offences not elsewhere classified (16),Number,180
Recorded crime incidents,2024Q3,20 North Western Region,Homicide & related offences (01),Number,5
Recorded crime incidents,2024Q3,20 North Western Region,Murder (0111),Number,0
Recorded crime incidents,2024Q3,20 North Western Region,Manslaughter (0112),Number,0
Recorded crime incidents,2024Q3,20 North Western Region,Infanticide (0113),Number,0
Recorded crime incidents,2024Q3,20 North Western Region,Dangerous driving leading to death (012),Number,5
Recorded crime incidents,2024Q3,20 North Western Region,Sexual offences (02),Number,240
Recorded crime incidents,2024Q3,20 North Western Region,Rape and sexual assault (021),Number,217
Recorded crime incidents,2024Q3,20 North Western Region,Other sexual offences (022),Number,23
Recorded crime incidents,2024Q3,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1298
Recorded crime incidents,2024Q3,20 North Western Region,Murder-attempt (0311),Number,1
